0,1,2
-21.680721,-45.94439,858.0
-19.710003,-47.961887,771.0
-19.455288,-44.17338,726.0
-20.714916,-44.864555,1012.0
-17.244362,-46.881668,693.0
-22.757778,-43.684723,30.0
-23.050278,-43.595554,3.0
-22.589722,-43.282223,100.0
-21.5875,-41.958332,77.0
-22.975277,-42.02139,38.0
-21.714722,-41.343887,15.0
-22.376112,-41.811943,14.0
-22.45139,-44.445,422.0
-22.464722,-43.29139,1777.0
-22.358093,-43.695656,368.0
-20.270834,-40.305832,3.0
-19.988388,-40.57957,885.0
-19.356945,-40.06861,31.0
-20.636526,-40.741817,14.19
-18.676197,-39.86405,38.0
-20.750555,-41.488888,135.0
-22.44861,-42.986946,924.0
-23.223612,-44.726944,6.0
-22.041647,-41.051872,0.0
-22.86139,-43.41139,25.0
-21.100805,-41.039394,49.0
-18.695265,-40.39057,145.0
-22.334723,-42.676945,1064.0
-22.098333,-43.208332,336.0
-22.65358,-44.040916,534.0
-22.86739,-43.102055,30.0
-22.975695,-44.303444,6.0
-21.938745,-42.600937,417.0
-21.950556,-42.010277,683.0
-18.29139,-40.73639,242.0
-19.40718,-40.539825,145.0
-20.385555,-41.19,798.0
-20.466944,-40.40389,22.0
-22.373943,-44.70311,2473.0
-22.939882,-43.402897,22.0
-22.988333,-43.190556,0.0
-20.104166,-41.106945,478.0
-22.645834,-42.415554,24.0
-22.87111,-42.60889,13.0
-23.496294,-46.620087,736.0
-20.447195,-54.722614,522.0
-22.552448,-55.716316,662.0
-20.783333,-51.712223,327.0
-22.358051,-49.028877,605.0
-22.75023,-45.603836,1701.0
-22.119867,-51.408638,420.0
-20.584444,-47.3825,997.0
-22.300556,-53.822777,370.0
-19.695517,-51.18177,407.0
-21.980352,-47.883926,842.0
-24.671654,-47.545895,44.0
-23.426035,-47.585552,605.0
-23.981945,-48.885834,710.0
-23.851944,-48.164722,678.0
-22.949,-49.894547,432.0
-18.988682,-56.622868,103.0
-22.372831,-50.97471,392.0
-20.475555,-55.78389,153.0
-18.512222,-54.73611,261.0
-22.19389,-54.91139,459.0
-20.395555,-56.431667,128.0
-21.705833,-57.886665,78.0
-18.99667,-57.6375,145.0
-23.101667,-48.941113,777.0
-22.703056,-47.623333,548.0
-21.666044,-49.734856,468.0
-23.041668,-45.52084,597.0
-20.403221,-49.96603,469.0
-18.802221,-52.6025,824.0
-21.609035,-55.177532,380.0
-19.420279,-54.553055,628.0
-20.165026,-50.595135,466.0
-21.319138,-50.930157,387.0
-21.085674,-49.920387,413.0
-21.133055,-48.840557,542.0
-21.855556,-48.79972,459.0
-21.78056,-47.07528,736.0
-22.415062,-46.80529,670.0
-23.228333,-45.416943,864.0
-22.471205,-48.55757,500.0
-19.12247,-51.720734,477.0
-21.77494,-54.528107,312.0
-22.951944,-46.530556,875.0
-24.962818,-48.416378,687.0
-21.338432,-48.114006,535.0
-20.559166,-48.545,517.0
-22.857222,-54.605556,375.0
-23.00253,-55.329357,433.0
-23.966944,-55.024166,420.0
-23.449501,-54.181858,326.0
-20.359722,-47.775276,604.0
-20.981667,-54.971943,470.0
-23.52389,-46.86945,739.0
-20.44444,-52.87583,316.0
-22.101667,-56.540833,209.0
-21.478529,-56.13772,251.0
-21.750122,-52.471294,391.0
-18.492777,-53.17139,720.0
-17.635277,-54.76047,500.0
-21.457699,-51.552254,388.0
-22.235222,-49.96511,634.0
-20.949167,-48.49,586.0
-23.844723,-46.143333,10.0
-24.533056,-47.864166,26.0
-23.810722,-45.402527,1.0
-21.927252,-50.49025,488.0
-22.689001,-45.005444,551.0
-23.724451,-46.67751,756.0
-23.7245,-46.6775,756.0
-30.053535,-51.174767,28.0
-32.07878,-52.16774,6.0
-29.72496,-53.72047,101.0
-30.750555,-55.40139,185.0
-27.854345,-53.79118,497.0
-27.60253,-48.620094,1.0
-25.448689,-49.230602,920.0
-29.350277,-49.733334,6.0
-29.83987,-57.081898,79.0
-27.890463,-54.480015,261.0
-31.4033,-52.7007,405.0
-30.545317,-53.46705,401.0
-29.872112,-52.38198,98.0
-28.5325,-49.315277,111.0
-28.27564,-49.934616,1379.0
-26.40639,-52.850277,815.0
-26.913704,-49.26798,89.0
-25.010757,-50.85385,817.0
-24.786955,-49.999268,995.0
-24.533302,-54.01925,408.0
-23.505266,-49.94639,506.0
-24.437346,-51.96302,651.0
-25.567879,-51.077946,1223.0
-23.390278,-53.635834,367.0
-24.158333,-53.030556,453.0
-29.709084,-55.525486,114.0
-31.347801,-54.01329,219.0
-27.65771,-52.305805,790.0
-28.748615,-50.05787,1180.0
-28.650091,-56.016293,87.0
-30.368578,-56.437115,113.05
-30.341438,-54.31091,93.0
-29.191599,-54.885654,403.0
-30.010267,-50.135887,0.0
-23.405277,-51.932777,565.0
-32.534824,-53.37586,29.0
-28.859211,-52.542385,656.0
-30.807953,-51.83424,60.0
-28.226805,-52.403584,668.0
-29.164581,-51.534203,590.0
-27.169268,-51.558964,762.0
-23.415283,-50.577744,661.0
-25.699167,-53.095276,518.0
-28.222382,-51.512844,804.0
-28.126991,-49.47961,1688.0
-25.601944,-54.483055,229.0
-25.494522,-48.326042,3.0
-26.286562,-53.633114,793.0
-22.639366,-52.890156,377.0
-22.658274,-52.134525,298.0
-26.081303,-48.641773,15.0
-28.417112,-54.962402,222.0
-28.60344,-53.673595,422.0
-27.395685,-53.42942,495.0
-25.721863,-53.74792,395.0
-27.920279,-53.318054,607.0
-26.7767,-53.50454,641.0
-26.938665,-52.39809,877.0
-26.819157,-50.98552,928.0
-27.288624,-50.604282,989.0
-26.937527,-50.145447,593.0
-26.248411,-49.580624,845.0
-27.41841,-49.646873,483.0
-26.393612,-50.363335,793.0
-27.802229,-50.335457,920.0
-28.604414,-48.813313,0.0
-28.931353,-49.49792,10.0
-26.950924,-48.76203,21.0
-23.359156,-52.93191,359.0
-27.678612,-49.041943,866.0
-23.77334,-50.18057,719.0
-24.280394,-50.21015,1052.0
-25.508936,-48.80868,38.0
-25.835604,-50.368996,776.0
-26.398474,-51.35367,1001.0
-26.4172,-52.34874,940.0
-31.248333,-50.906387,0.0
-29.368788,-50.827232,839.0
-28.513601,-50.882736,946.0
-31.002527,-54.618137,143.0
-29.450335,-51.824284,58.0
-28.653458,-53.11188,433.0
-29.674294,-51.06404,31.0
-29.089382,-53.82665,453.0
-31.8025,-52.407223,8.0
-29.70211,-54.69432,120.0
-30.543056,-52.524723,422.0
